Week,Blitz Rate,Turnover Differential,,Win,Loss
week 1,3.002018431,5,,0,1
week 2,4.867806018,2,,1,0
week 3,4.054679131,2,,1,0
week 4,5.247368514,2,,1,0
week 5,4.738289999,4,,0,1
week 6,6.395948973,2,,0,1
week 7,3.076979258,2,,0,1
week 8,0,0,,0,0
week 9,2.321063395,3,,1,0
week 10,4.36410556,2,,1,0
week 11,3.37666764,3,,0,1
week 12,3.940035765,3,,0,1
week 13,4.255960468,5,,1,0
week 14,3.783031897,2,,1,0
week 15,4.947171097,1,,1,0
week 16,5.356412504,2,,1,0
week 17,4.494130614,5,,0,1
